                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.61142,                0.39774,                 1.0116,                 0.9512,                0.96841,                0.96388,                 0.8357,                0.62616,                0.41082,                0.94405,                0.00108,                0.00108,                0.00108
                     76,                0.62404,                0.40053,                 1.0171,                0.94399,                0.96611,                0.94732,                0.83751,                0.56783,                0.36604,                0.88603,              0.0010753,              0.0010753,              0.0010753
                     77,                0.60548,                0.38731,                0.99029,                0.96128,                0.95833,                0.97348,                0.85458,                0.54167,                0.34971,                0.82788,              0.0010706,              0.0010706,              0.0010706
                     78,                0.59542,                0.38316,                0.99281,                0.98052,                0.97917,                0.98495,                0.86762,                0.53004,                0.32876,                0.82551,              0.0010659,              0.0010659,              0.0010659
                     79,                0.59162,                0.38099,                 1.0044,                0.98142,                0.99907,                0.98606,                0.87882,                 0.4876,                0.29411,                0.83145,              0.0010612,              0.0010612,              0.0010612
                     80,                0.60659,                0.39257,                 1.0009,                0.96326,                0.99306,                0.98884,                0.84873,                 0.5794,                 0.3132,                0.86529,              0.0010565,              0.0010565,              0.0010565
                     81,                0.62403,                0.38781,                 1.0233,                0.98225,                0.99306,                0.98755,                 0.8839,                0.54635,                0.29662,                0.85987,              0.0010517,              0.0010517,              0.0010517
                     82,                0.63555,                0.40599,                 1.0199,                0.95865,                0.98751,                0.98723,                0.85549,                0.54755,                0.30381,                0.84607,               0.001047,               0.001047,               0.001047
                     83,                0.59683,                0.39198,                0.99927,                0.98049,                0.98413,                0.98861,                0.87116,                0.51699,                0.28877,                0.83805,              0.0010423,              0.0010423,              0.0010423
                     84,                0.57767,                0.38036,                0.99197,                0.97327,                0.98531,                0.98269,                0.85708,                0.52652,                0.32576,                0.84689,              0.0010376,              0.0010376,              0.0010376
                     85,                0.63264,                0.40449,                 1.0125,                0.98283,                0.96549,                0.98745,                0.85889,                0.54833,                0.33685,                0.86422,              0.0010329,              0.0010329,              0.0010329
                     86,                0.60083,                0.38397,                 1.0046,                0.97485,                0.97154,                0.97986,                0.85577,                  0.569,                0.34723,                0.87618,              0.0010282,              0.0010282,              0.0010282
                     87,                 0.5883,                0.37793,                0.99664,                 0.9834,                0.97826,                0.98809,                0.87235,                0.56166,                0.31111,                0.86066,              0.0010234,              0.0010234,              0.0010234
                     88,                0.54643,                0.35847,                0.96701,                0.97328,                0.98451,                0.98936,                0.88368,                0.48361,                0.27454,                0.81795,              0.0010187,              0.0010187,              0.0010187
                     89,                0.58734,                0.36415,                 1.0075,                0.98384,                0.95177,                0.98331,                0.87154,                0.46972,                0.30639,                0.81447,               0.001014,               0.001014,               0.001014
